course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,revenue
1157298,Introduction to Forex Trading Business For Beginners,https://www.udemy.com/introduction-to-forex-trading-business-for-beginners/,True,20,0,0.0,27.0,Beginner Level,1.5,Business Finance,2017,0
1282064,Cryptocurrency (BTC & ETH) Investment & Trading Course 2017,https://www.udemy.com/cryptocurrency-btc-eth-investment-trading-course-2017/,True,20,0,0.0,7.0,Beginner Level,2.5,Business Finance,2017,0
1247992,Introduction to Project Management for Finance and Acct'g,https://www.udemy.com/introduction-to-project-management-m/,True,50,0,0.0,9.0,Beginner Level,2.0,Business Finance,2017,0
1251582,Best Practices in Corporate Budgeting,https://www.udemy.com/best-practices-corporate-budgeting/,True,50,0,0.0,9.0,Intermediate Level,2.0,Business Finance,2017,0
1258666,Financial Statement Auditing Cycles,https://www.udemy.com/financial-statement-auditing-cycles/,True,50,0,0.0,9.0,Intermediate Level,2.0,Business Finance,2017,0
1168172,Case studies on credit appraisal for bankers,https://www.udemy.com/case-studies-on-credit-appraisal-for-bankers/,True,20,0,0.0,15.0,Beginner Level,3.5,Business Finance,2017,0
1233314,Building a Balanced Scorecard,https://www.udemy.com/building-balanced-scorecard/,True,50,0,0.0,11.0,Intermediate Level,2.0,Business Finance,2017,0
1276182,Options Trading Foundation: Your journey to competency...,https://www.udemy.com/option-trading-foundation-your-journey-to-competency/,True,95,0,0.0,,Intermediate Level,1.0,Business Finance,2017,0
1187084,Forex how traders beat the markest with little experience,https://www.udemy.com/forex-how-traders-beat-the-markest-with-little-experience/,True,100,0,0.0,16.0,All Levels,1.0,Business Finance,2017,0
1084454,CFA Level 2- Quantitative Methods,https://www.udemy.com/cfa-level-2-quantitative-methods/,True,40,0,,35.0,All Levels,5.5,Business Finance,2017,0
1220862,The True Secret Sauce  For Stock Market Success,https://www.udemy.com/stockmarketsuccesssecretsauce/,True,200,23,2.0,30.0,All Levels,3.0,Business Finance,2017,4600
1107904,Financial Reporting A Comprehensive Study,https://www.udemy.com/financial-reporting-a-comprehensive-study/,True,50,45,1.0,72.0,All Levels,8.0,Business Finance,2017,2250
1095700,Using Xero for your bookkeeping needs  do beautiful business,https://www.udemy.com/xero-101/,True,95,39,6.0,28.0,Beginner Level,1.0,Business Finance,2017,3705
1078520,Internal Controls - Design Implementation and Monitoring,https://www.udemy.com/internal-controls/,True,195,62,6.0,27.0,Beginner Level,6.5,Business Finance,2017,12090
591724,Financial Market Environment & Investment Strategies,https://www.udemy.com/financial-market-environment-investment-strategies/,True,105,1,0.0,25.0,All Levels,1.5,Business Finance,2017,105
1064904,Evolution and Features of ETFs,https://www.udemy.com/evolution-and-features-of-etfs/,True,100,0,0.0,10.0,All Levels,0.716666667,Business Finance,2017,0
1046940,Trade RSI Breakout Strategy: Great Risk/Reward Ratio (Forex),https://www.udemy.com/trade-rsi-breakout-strategy-great-riskreward-ratio-forex/,True,200,66,12.0,19.0,All Levels,2.0,Business Finance,2017,13200
1107954,Day trading strategy for all level with 72% success rate,https://www.udemy.com/1-shot-1kill/,True,95,51,,15.0,All Levels,0.533333333,Business Finance,2017,4845
1263966,Advanced Technical Analysis PART1!,https://www.udemy.com/advanced-technical-analysis-part1/,True,100,9,1.0,19.0,Intermediate Level,3.0,Business Finance,2017,900
925854,No Bull Investing: Investing 101 For Financial Freedom,https://www.udemy.com/no-bull-investing-investing-101-for-financial-freedom/,True,100,1213,12.0,25.0,Beginner Level,6.5,Business Finance,2017,121300
1225564,Short Straddles - Exploit Earnings Option Volatility Crush,https://www.udemy.com/short-straddles-exploit-option-volatility-crush/,True,60,59,8.0,7.0,Expert Level,0.583333333,Business Finance,2017,3540
1000136,Basics of Fixed Income Valuation CFA Level I 2017 Prep,https://www.udemy.com/basics-of-fixed-income-valuation-cfa-level-i-2017-prep/,True,20,4,0.0,14.0,Beginner Level,3.5,Business Finance,2017,80
1232382,Intro to Financial Statement Audits,https://www.udemy.com/intro-financial-statement-audits/,True,50,1,0.0,9.0,Intermediate Level,1.5,Business Finance,2017,50
1058530,How to Get Growing Passive Income from the Fortune 500!,https://www.udemy.com/how-to-get-growing-passive-income-from-the-fortune-500/,True,25,4,0.0,12.0,All Levels,1.0,Business Finance,2017,100
994118,Managing Budgets in the Public and Non Profit Sector,https://www.udemy.com/managing-budgets-in-the-public-and-non-profit-sector/,True,95,4,0.0,20.0,All Levels,2.0,Business Finance,2017,380
1165780,Ratio analysis for bankers and credit analysts,https://www.udemy.com/ratio-analysis-for-bankers-and-credit-analysts/,True,20,1,0.0,13.0,Beginner Level,3.0,Business Finance,2017,20
1246684,Dash Crypto Currency Technical and Trading Overview Bootcamp,https://www.udemy.com/introduction-to-dash-crypto-currency-technical-overview/,True,20,4,1.0,14.0,All Levels,1.0,Business Finance,2017,80
1185936,الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,https://www.udemy.com/arabic-forex-education-by-pforex/,False,0,368,3.0,69.0,All Levels,20.5,Business Finance,2017,0
753610,Trading mit kleinen Konten - Grundlagen die du kennen musst,https://www.udemy.com/werden-sie-privater-trader-im-forex-cfd-oder-rohstoffmarkt/,True,80,74,4.0,20.0,Beginner Level,3.5,Business Finance,2017,5920
1264512,Trading Forex  - L'analyse des volumes,https://www.udemy.com/trading-forex-lanalyse-des-volumes/,True,70,4,3.0,13.0,All Levels,2.0,Business Finance,2017,280
1210062,Wie funktionieren Bitcoin? Ein Einführungskurs.,https://www.udemy.com/wie-funktionieren-bitcoin-ein-einfuhrungskurs/,True,20,14,4.0,14.0,Beginner Level,0.616666667,Business Finance,2017,280
1180960,Estruturação Financeira,https://www.udemy.com/estruturacao-financeira/,True,45,18,3.0,18.0,All Levels,3.5,Business Finance,2017,810
1162656,Introduction to Bitcoin for Beginners,https://www.udemy.com/introduction-to-bitcoin-for-beginners/,True,20,2,1.0,7.0,Beginner Level,0.566666667,Business Finance,2017,40
1050168,Forex Trading : Power Of Moving Averages,https://www.udemy.com/forex-trading-learn-moving-averages-from-scratch-to-pro/,True,200,100,24.0,33.0,All Levels,4.0,Business Finance,2017,20000
1179546,An Introduction to Financial Markets on Wall Street,https://www.udemy.com/an-introduction-to-financial-markets-on-wall-street/,True,30,7,1.0,29.0,All Levels,2.0,Business Finance,2017,210
1239206,Win 90% of Trades; Quantitative Investments Models in Excel,https://www.udemy.com/quantitative-investments/,True,200,4,1.0,16.0,Beginner Level,1.5,Business Finance,2017,800
1149564,The Forex Pivot Points Trading Strategy,https://www.udemy.com/the-forex-pivot-points-trading-strategy/,True,20,21,,12.0,All Levels,2.0,Business Finance,2017,420
1276364,Bitcoin & Ethereum Course (2 Course Bundle),https://www.udemy.com/bitcoin-ethereum-bundle/,True,200,1,0.0,52.0,All Levels,2.5,Business Finance,2017,200
1237912,Create Trading Robot Without Coding Skills!,https://www.udemy.com/algotrading/,True,145,5,0.0,13.0,All Levels,1.0,Business Finance,2017,725
1021760,MQL5 - Beginner To Expert,https://www.udemy.com/mql5-beginner-to-expert/,True,45,16,1.0,16.0,Beginner Level,1.5,Business Finance,2017,720
1073430,Xero Bookkeeping Course & Certification by Accounting Firm,https://www.udemy.com/online-bookkeeping-with-practice-and-job-recommendation/,True,20,7,3.0,15.0,Beginner Level,2.0,Business Finance,2017,140
1136912,Financial Accounting - The Ultimate Beginner Course,https://www.udemy.com/financial-accounting-the-ultimate-beginner-course/,True,100,9,2.0,101.0,Beginner Level,10.0,Business Finance,2017,900
1036456,Basics of Private Equity,https://www.udemy.com/basics-of-private-equity/,True,60,9,2.0,6.0,Intermediate Level,0.666666667,Business Finance,2017,540
1151398,Trading Forex - Trader avec les figures harmoniques,https://www.udemy.com/trading-forex-trader-avec-les-figures-harmoniques/,True,90,57,11.0,23.0,Beginner Level,2.0,Business Finance,2017,5130
1178820,Aprenda a Investir no Tesouro Direto Passo a Passo,https://www.udemy.com/tesouro-direto-passo-a-passo/,True,35,62,10.0,19.0,All Levels,1.0,Business Finance,2017,2170
933394,The Complete Guide to Forex Trading,https://www.udemy.com/the-complete-guide-to-forex-trading/,True,20,1329,12.0,33.0,All Levels,5.0,Business Finance,2017,26580
1090408,Learn How to Trade Binary Options Professionally,https://www.udemy.com/freebinaryoptions/,False,0,5144,169.0,7.0,All Levels,1.0,Business Finance,2017,0
1196728,From 0 to 1: Investments and Portfolio Theory,https://www.udemy.com/from-0-to-1-investments-and-portfolio-theory/,True,50,230,0.0,,Beginner Level,4.5,Business Finance,2017,11500
1196816,From 0 to 1: Bond Theory and Valuation,https://www.udemy.com/from-0-to-1-bond-theory-and-valuation/,True,50,223,2.0,29.0,Beginner Level,4.0,Business Finance,2017,11150
1275790,Advanced Butterfly Spreads for Options Income Strategies,https://www.udemy.com/advanced-butterfly-spread-option-strategies/,True,60,16,1.0,8.0,Expert Level,1.0,Business Finance,2017,960
1131122,IPO Fundamentals,https://www.udemy.com/ipo-fundamentals-basics-definition-tutorial/,True,20,1122,13.0,6.0,Beginner Level,1.0,Business Finance,2017,22440
1269590,Advanced Options Trading Course,https://www.udemy.com/advanced-option-trading-course/,True,40,1252,2.0,6.0,Intermediate Level,0.533333333,Business Finance,2017,50080
1119920,Financial Ratios Using Excel,https://www.udemy.com/financialratios/,True,100,1223,14.0,29.0,Beginner Level,1.0,Business Finance,2017,122300
987682,Stocks: Quick Method to get started Investing,https://www.udemy.com/quick-method-investing/,False,0,718,13.0,7.0,Beginner Level,1.0,Business Finance,2017,0
1123226,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,https://www.udemy.com/power-of-engulfing-candlestick-patterns-in-forex-trading/,True,195,375,10.0,26.0,All Levels,3.5,Business Finance,2017,73125
1170626,Start Trading Stocks Using Technical Analysis! Part 2,https://www.udemy.com/start-trading-stocks-using-technical-analysis-part-2/,True,95,94,11.0,25.0,All Levels,2.0,Business Finance,2017,8930
